clean_name
afghanistan
albania
algeria
andorra
angola
antiguaandbarbuda
argentina
armenia
australia
austria
azerbaijan
bahamas
bahrain
bangladesh
barbados
belarus
belgium
belize
benin
bhutan
bolivia
bosniaandherzegovina
botswana
brazil
bruneidarussalam
bulgaria
burkinafaso
burundi
caboverde
cambodia
cameroon
canada
centralafricanrepublic
chad
chile
china
colombia
comoros
congo
costarica
cotedivoire
croatia
cuba
cyprus
czechia
democraticrepublicofcongo
denmark
djibouti
dominica
dominicanrepublic
ecuador
egypt
elsalvador
equatorialguinea
eritrea
estonia
eswatini
ethiopia
fiji
finland
france
gabon
gambia
georgia
germany
ghana
greece
grenada
guatemala
guinea
guineabissau
guyana
haiti
holysee
honduras
hungary
iceland
india
indonesia
iran
iraq
ireland
israel
italy
jamaica
japan
jordan
kazakhstan
kenya
kiribati
kuwait
kyrgyzstan
laos
latvia
lebanon
lesotho
liberia
libya
liechtenstein
lithuania
luxembourg
madagascar
malawi
malaysia
maldives
mali
malta
marshallislands
mauritania
mauritius
mexico
micronesia
moldova
monaco
mongolia
montenegro
morocco
mozambique
myanmar
namibia
nauru
nepal
netherlands
newzealand
nicaragua
niger
nigeria
northmacedonia
northkorea
norway
oman
pakistan
palau
palestine
panama
papuanewguinea
paraguay
peru
philippines
poland
portugal
qatar
romania
russia
rwanda
saintkittsandnevis
saintlucia
saintvincentandthegrenadines
samoa
sanmarino
sotomandprncipe
saudiarabia
senegal
serbia
seychelles
sierraleone
singapore
slovakia
slovenia
solomonislands
somalia
southafrica
southkorea
southsudan
spain
srilanka
sudan
suriname
sweden
switzerland
syria
tajikistan
tanzania
thailand
timorleste
togo
tonga
trinidadandtobago
tunisia
turkey
turkmenistan
tuvalu
uganda
ukraine
unitedarabemirates
unitedkingdom
unitedstates
uruguay
uzbekistan
vanuatu
venezuela
vietnam
yemen
zambia
zimbabwe
